seed,method,risk_budget,n,task_success,ci95_task_success,unsafe_commit_rate,ci95_unsafe_commit_rate,disagreement_family_accuracy,ci95_disagreement_family_accuracy,useful_disagreement_recall,ci95_useful_disagreement_recall,noise_false_alarm_rate,ci95_noise_false_alarm_rate,protocol_cost,ci95_protocol_cost,planning_regret_to_oracle,ci95_planning_regret_to_oracle,robust_utility,ci95_robust_utility,intervention_rate,ci95_intervention_rate,deployment_coverage,ci95_deployment_coverage
1,typed_disagreement_protocol_v4,0.050000,48,0.425619,0.039126,0.052247,0.006666,0.444444,0.047979,0.468750,0.094629,0.180556,0.092187,0.258469,0.007042,0.393965,0.039219,0.057943,0.043786,0.920139,0.041254,0.673611,0.068747
1,typed_disagreement_protocol_v4,0.080000,48,0.490070,0.031808,0.064622,0.005926,0.440972,0.061890,0.538194,0.094421,0.128472,0.070299,0.244138,0.011169,0.321501,0.032123,0.130407,0.035286,0.857639,0.066673,0.788194,0.047390
1,typed_disagreement_protocol_v4,0.100000,48,0.506908,0.037918,0.067846,0.005947,0.510417,0.071080,0.552083,0.104374,0.125000,0.070474,0.242066,0.011248,0.304194,0.040218,0.147714,0.043313,0.847222,0.068661,0.815972,0.052594
1,typed_disagreement_protocol_v4,0.150000,48,0.525492,0.029836,0.073471,0.008136,0.409722,0.057508,0.538194,0.100252,0.121528,0.062081,0.237703,0.010826,0.284236,0.036357,0.167672,0.037874,0.829861,0.067027,0.864583,0.040870
1,worldbench_diagnostic_probe,0.000000,48,0.498401,0.016664,0.077520,0.009162,0.409722,0.052340,0.399306,0.135382,0.250000,0.123796,0.281449,0.002579,0.325648,0.031932,0.126260,0.030625,1.000000,0.000000,0.979167,0.018518
1,worldbench_diagnostic_probe,0.020000,48,0.494025,0.016639,0.077394,0.009297,0.395833,0.063501,0.388889,0.136285,0.250000,0.123796,0.281638,0.002510,0.330643,0.033011,0.121265,0.031354,1.000000,0.000000,0.975694,0.019427
1,worldbench_diagnostic_probe,0.050000,48,0.494100,0.017403,0.076754,0.009059,0.378472,0.055653,0.388889,0.134538,0.250000,0.123796,0.281356,0.002565,0.329727,0.033129,0.122181,0.031260,1.000000,0.000000,0.972222,0.022462
1,worldbench_diagnostic_probe,0.080000,48,0.500360,0.013475,0.078961,0.009680,0.447917,0.059288,0.392361,0.135294,0.250000,0.123796,0.281317,0.002539,0.324475,0.029702,0.127433,0.027845,1.000000,0.000000,0.989583,0.015088
1,worldbench_diagnostic_probe,0.100000,48,0.491395,0.017957,0.077510,0.009825,0.388889,0.062532,0.392361,0.135643,0.250000,0.123796,0.281119,0.002824,0.334693,0.034396,0.117215,0.033107,0.996528,0.006806,0.968750,0.025094
1,worldbench_diagnostic_probe,0.150000,48,0.494793,0.017529,0.078939,0.010192,0.406250,0.049505,0.385417,0.136570,0.246528,0.122254,0.280241,0.002987,0.331534,0.034222,0.120374,0.032780,0.993056,0.009522,0.979167,0.025035
2,bayesian_active_model_selection,0.000000,48,0.395000,0.032521,0.062251,0.009030,0.357639,0.049585,0.440972,0.095045,0.215278,0.107852,0.237037,0.006375,0.438495,0.035938,0.015734,0.037241,0.902778,0.032013,0.652778,0.064395
2,bayesian_active_model_selection,0.020000,48,0.447760,0.036407,0.073304,0.010955,0.399306,0.060538,0.482639,0.103958,0.184028,0.097865,0.227920,0.009444,0.380751,0.040289,0.073477,0.041655,0.854167,0.053826,0.756944,0.066651
2,bayesian_active_model_selection,0.050000,48,0.468187,0.030859,0.083131,0.011599,0.395833,0.058863,0.496528,0.096035,0.138889,0.078013,0.215605,0.011631,0.364158,0.037110,0.090070,0.038200,0.788194,0.066496,0.798611,0.053236
2,bayesian_active_model_selection,0.080000,48,0.507941,0.027425,0.095373,0.011799,0.375000,0.058762,0.517361,0.097865,0.149306,0.082668,0.208852,0.010879,0.328277,0.027314,0.125951,0.028913,0.756944,0.059924,0.881944,0.041218
2,bayesian_active_model_selection,0.100000,48,0.527974,0.027155,0.098660,0.012080,0.368056,0.054985,0.524306,0.103844,0.107639,0.068424,0.202240,0.013500,0.302442,0.036322,0.151786,0.035774,0.725694,0.079904,0.920139,0.033678
2,bayesian_active_model_selection,0.150000,48,0.540804,0.028141,0.105254,0.011824,0.354167,0.057233,0.541667,0.101313,0.100694,0.062838,0.196711,0.012872,0.294904,0.031898,0.159325,0.030899,0.697917,0.075751,0.944444,0.029715
2,conformal_risk_filter,0.000000,48,0.093074,0.012224,0.013726,0.005938,0.135417,0.045263,0.000000,0.000000,0.225694,0.112376,0.234573,0.004945,0.758747,0.018305,-0.304519,0.013884,0.934028,0.027059,0.076389,0.027439
2,conformal_risk_filter,0.020000,48,0.098174,0.017525,0.015376,0.007468,0.145833,0.045230,0.000000,0.000000,0.218750,0.109246,0.231867,0.007105,0.753091,0.021829,-0.298862,0.017948,0.916667,0.037670,0.086806,0.038893
